Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary,Evaluation
Ken,super,good,super,low,super,super,super,4.2
Uma,low,middle,low,super,middle,super,super,3
Yara,low,middle,low,low,middle,low,low,2.4
Karen,middle,middle,middle,middle,low,middle,middle,2.8
Dave,good,super,middle,super,low,super,super,3.8
Kristen,middle,super,super,middle,middle,super,super,3.8
Paula,low,low,low,low,low,low,low,2
Ursula,super,super,good,middle,low,super,super,3.8
Ivy,middle,low,super,super,middle,super,super,3.6
Roger,good,low,middle,middle,super,super,super,3.4
